"%IDData";"%IDUnidade";"%IDMunicipio";"%IDExame";"Qtde. Vendas";"Vlr. Vendas";"Vlr. Unit. Vendas"
01/01/2019;"56";"3106200";"157";2;14.8;7.4
01/01/2019;"51";"3106705";"157";2;32.58;16.29
01/01/2019;"59";"3106200";"157";2;39.54;19.77
01/01/2019;"54";"3106200";"157";2;41.86;20.93
01/01/2019;"50";"3106200";"157";2;42.28;21.14
01/01/2019;"52";"3106200";"157";3;61.26;20.42
01/01/2019;"57";"3106200";"157";4;50.24;12.56
01/01/2019;"55";"3106200";"157";4;56;14
01/01/2019;"50";"3106200";"157";12;188.67;15.72
01/01/2019;"52";"3106200";"157";14;210;15
01/01/2019;"54";"3144805";"157";14;312.76;22.34
01/01/2019;"55";"3170107";"157";14;353.22;25.23
01/01/2019;"58";"3106705";"157";15;248.7;16.58
01/01/2019;"53";"3106200";"157";18;402.12;22.34
01/01/2019;"54";"3106200";"157";24;434.4;18.1
01/01/2019;"51";"3106200";"159";1;3.24;3.24
01/01/2019;"52";"3106200";"159";1;4.49;4.49
01/01/2019;"50";"3106200";"159";2;12.48;6.24
01/01/2019;"52";"3106200";"159";7;30.73;4.39
01/01/2019;"58";"3106705";"160";2;11.28;5.64
01/01/2019;"55";"3106200";"160";2;14.18;7.09
01/01/2019;"51";"3106200";"160";13;52.78;4.06
01/01/2019;"50";"3106200";"160";42;181.44;4.32
01/01/2019;"52";"3106200";"161";1;5.85;5.85
01/01/2019;"50";"3106200";"163";1;4.3;4.3
01/01/2019;"55";"3106200";"163";1;8.51;8.51
01/01/2019;"51";"3106200";"163";2;10;5
01/01/2019;"51";"3106705";"163";10;36.8;3.68
01/01/2019;"56";"3106200";"163";11;34.65;3.15
01/01/2019;"54";"3106200";"163";11;41.8;3.8
01/01/2019;"50";"3106200";"163";15;76.95;5.13
01/01/2019;"54";"3170107";"163";19;158.65;8.35
01/01/2019;"58";"3106705";"163";36;129.6;3.6
01/01/2019;"55";"3106200";"163";118;295;2.5
01/01/2019;"52";"3106200";"165";1;2.93;2.93
01/01/2019;"55";"3106200";"165";1;3.16;3.16
01/01/2019;"55";"3106200";"165";2;7.72;3.86
01/01/2019;"54";"3106200";"165";3;6;2
01/01/2019;"59";"3106200";"165";6;25.32;4.22
01/01/2019;"53";"3106200";"165";32;91.2;2.85
01/01/2019;"55";"3106200";"166";1;4.4;4.4
01/01/2019;"59";"3106200";"166";1;4.4;4.4
01/01/2019;"56";"3106200";"166";2;6.74;3.37
01/01/2019;"54";"3144805";"166";2;8.8;4.4
01/01/2019;"58";"3106705";"166";5;22;4.4
01/01/2019;"56";"3106200";"166";7;20.93;2.99
01/01/2019;"53";"3118601";"166";8;18.4;2.3
01/01/2019;"55";"3170107";"166";15;66.15;4.41
01/01/2019;"54";"3106200";"166";18;77.94;4.33
01/01/2019;"51";"3106705";"172";1;2.55;2.55
01/01/2019;"53";"3106705";"172";1;3;3
01/01/2019;"56";"3106200";"172";1;3.68;3.68
01/01/2019;"59";"3106200";"172";1;4.02;4.02
01/01/2019;"56";"3106200";"172";1;4.2;4.2
01/01/2019;"52";"3106200";"172";1;6.24;6.24
01/01/2019;"54";"3106200";"172";1;6.24;6.24
01/01/2019;"57";"3106200";"172";2;3.98;1.99
01/01/2019;"58";"3106200";"172";2;6.66;3.33
01/01/2019;"55";"3106200";"172";2;8.42;4.21
01/01/2019;"55";"3170107";"172";2;8.5;4.25
01/01/2019;"58";"3106200";"172";2;10.34;5.17
01/01/2019;"54";"3144805";"172";2;12.48;6.24
01/01/2019;"52";"3106200";"172";3;10.11;3.37
01/01/2019;"58";"3106705";"172";5;14.3;2.86
01/01/2019;"59";"3106200";"172";6;13.44;2.24
01/01/2019;"54";"3144805";"172";6;21.42;3.57
01/01/2019;"52";"3106200";"172";7;47.6;6.8
01/01/2019;"53";"3106200";"172";8;35.2;4.4
01/01/2019;"50";"3106200";"172";14;45.64;3.26
01/01/2019;"58";"3106200";"172";17;22.95;1.35
01/01/2019;"51";"3106200";"172";24;48;2
01/01/2019;"53";"3106200";"172";39;139.23;3.57
01/01/2019;"50";"3106200";"172";46;228.62;4.97
01/01/2019;"52";"3106200";"173";1;7.36;7.36
01/01/2019;"50";"3106200";"173";2;19.44;9.72
01/01/2019;"53";"3106200";"175";1;9.9;9.9
01/01/2019;"51";"3106705";"175";1;10.2;10.2
01/01/2019;"54";"3106200";"175";1;10.5;10.5
01/01/2019;"56";"3106200";"175";1;11.89;11.89
01/01/2019;"54";"3144805";"175";1;12.15;12.15
01/01/2019;"52";"3106200";"175";1;12.21;12.21
01/01/2019;"55";"3170107";"175";1;12.92;12.92
01/01/2019;"54";"3106200";"175";1;16.65;16.65
01/01/2019;"56";"3106200";"175";1;16.65;16.65
01/01/2019;"53";"3118601";"175";1;16.65;16.65
01/01/2019;"58";"3170107";"175";1;16.65;16.65
01/01/2019;"56";"3106200";"175";2;12.4;6.2
01/01/2019;"54";"3106200";"175";2;25.18;12.59
01/01/2019;"55";"3106200";"175";2;25.28;12.64
01/01/2019;"58";"3106705";"175";2;26.46;13.23
01/01/2019;"56";"3170107";"175";2;33.3;16.65
01/01/2019;"50";"3106200";"175";3;32.67;10.89
01/01/2019;"59";"3106200";"175";5;59.2;11.84
01/01/2019;"52";"3106200";"175";6;60;10
01/01/2019;"52";"3106200";"175";8;67.84;8.48
01/01/2019;"53";"3106200";"175";12;128.64;10.72
01/01/2019;"51";"3106200";"175";34;283.56;8.34
01/01/2019;"55";"3106200";"175";40;244;6.1
01/01/2019;"58";"3106705";"177";1;336.1;336.1
01/01/2019;"58";"3170107";"180";1;9.5;9.5
01/01/2019;"58";"3106705";"180";1;12.61;12.61
01/01/2019;"50";"3106200";"180";3;36.6;12.2
01/01/2019;"55";"3170107";"180";4;57.84;14.46
01/01/2019;"51";"3106200";"180";32;170.88;5.34
01/01/2019;"56";"3170107";"180";33;343.2;10.4
01/01/2019;"52";"3106200";"180";40;287.2;7.18
01/01/2019;"54";"3170107";"180";50;591;11.82
01/01/2019;"54";"3106200";"180";67;606.35;9.05
01/01/2019;"54";"3144805";"180";112;1177.12;10.51
01/01/2019;"54";"3106200";"180";133;1103.9;8.3
01/01/2019;"50";"3106200";"180";198;1968.12;9.94
01/01/2019;"59";"3106200";"180";284;1681.28;5.92
01/01/2019;"55";"3106200";"180";321;1540.8;4.8
01/01/2019;"53";"3106200";"180";468;5016.96;10.72
01/01/2019;"50";"3106200";"180";2272;9769.6;4.3
01/01/2019;"55";"3106200";"180";2704;19739.2;7.3
01/01/2019;"51";"3106200";"181";1;5.54;5.54
01/01/2019;"54";"3106200";"183";1;14.94;14.94
01/01/2019;"55";"3106200";"185";1;2033;2033
01/01/2019;"50";"3106200";"186";1;84.22;84.22
01/01/2019;"50";"3106200";"187";1;73.44;73.44
01/01/2019;"50";"3106200";"189";1;11.53;11.53
01/01/2019;"51";"3106200";"189";1;11.53;11.53
01/01/2019;"52";"3106200";"189";1;11.53;11.53
01/01/2019;"53";"3106200";"189";14;161.42;11.53
01/01/2019;"51";"3106200";"190";1;5.53;5.53
01/01/2019;"55";"3106200";"190";1;11.53;11.53
01/01/2019;"53";"3106200";"190";3;34.59;11.53
01/01/2019;"52";"3106200";"190";4;29.32;7.33
01/01/2019;"50";"3106200";"191";2;23.06;11.53
