%IDData,%IDUnidade,%IDMunicipio,%IDExame,Qtde. Vendas,Vlr. Vendas,Vlr. Unit. Vendas
01/01/2019,54,3144805,1075,1,39,39.
01/01/2019,54,3144805,1088,2,19.8,9.9
01/01/2019,54,3144805,1203,1,3.57,3.57
01/01/2019,54,3144805,1203,15,54,3.6
01/01/2019,54,3144805,1203,127,252.73,1.99
01/01/2019,54,3144805,1207,36,342.72,9.52
01/01/2019,54,3144805,1212,42,252,6.
01/01/2019,54,3144805,1212,131,657.62,5.02
01/01/2019,54,3144805,1212,722,2238.2,3.1
01/01/2019,54,3144805,1254,9,77.22,8.58
01/01/2019,54,3144805,1256,2,11.92,5.96
01/01/2019,54,3144805,1257,5,19.5,3.9
01/01/2019,54,3144805,1257,7,46.62,6.66
01/01/2019,54,3144805,1257,12,67.2,5.6
01/01/2019,54,3144805,1265,43,94.6,2.2
01/01/2019,54,3144805,1273,3,16.5,5.5
01/01/2019,54,3144805,1273,356,1068,3.
01/01/2019,54,3144805,1285,1,3.5,3.5
01/01/2019,53,3144805,1285,5,25.85,5.17
01/01/2019,54,3144805,1285,9,40.5,4.5
01/01/2019,54,3144805,1285,228,478.8,2.1
01/01/2019,54,3144805,1294,235,1339.5,5.7
01/01/2019,54,3144805,1295,1,12.45,12.45
01/01/2019,54,3144805,1297,2,17.96,8.98
01/01/2019,54,3144805,1302,1,5.96,5.96
01/01/2019,54,3144805,1304,1,24.6,24.6
01/01/2019,54,3144805,1304,1,51.94,51.94
01/01/2019,54,3144805,1305,2,156.8,78.4
01/01/2019,54,3144805,1332,137,424.7,3.1
01/01/2019,54,3144805,1334,6,21.6,3.6
01/01/2019,54,3144805,1335,2,13.1,6.55
01/01/2019,54,3144805,1338,7,36.82,5.26
01/01/2019,54,3144805,1342,11,39.6,3.6
01/01/2019,54,3144805,1367,7,458.57,65.51
01/01/2019,54,3144805,1375,1,14.3,14.3
01/01/2019,54,3144805,1380,1,110.6,110.6
01/01/2019,53,3144805,1404,52,336.44,6.47
01/01/2019,54,3144805,1404,82,527.26,6.43
01/01/2019,54,3144805,1404,3240,13284,4.1
01/01/2019,54,3144805,1413,1,66.69,66.69
01/01/2019,54,3144805,1433,2,10.26,5.13
01/01/2019,54,3144805,1433,3,21.87,7.29
01/01/2019,54,3144805,1458,27,181.17,6.71
01/01/2019,54,3144805,1459,2,34.02,17.01
01/01/2019,54,3144805,1459,67,495.8,7.4
01/01/2019,54,3144805,1460,2,19.86,9.93
01/01/2019,54,3144805,1460,28,233.52,8.34
01/01/2019,54,3144805,1468,1,13.76,13.76
01/01/2019,54,3144805,1468,79,410.8,5.2
01/01/2019,54,3144805,1468,115,939.55,8.17
01/01/2019,54,3144805,1469,1,14.59,14.59
01/01/2019,54,3144805,1469,83,614.2,7.4
01/01/2019,54,3144805,1469,114,999.78,8.77
01/01/2019,54,3144805,1470,207,745.2,3.6
01/01/2019,54,3144805,1472,16,95.36,5.96
01/01/2019,54,3144805,1473,1,15.56,15.56
01/01/2019,54,3144805,1473,7,41.72,5.96
01/01/2019,54,3144805,1476,1,18.92,18.92
01/01/2019,53,3144805,1477,4,31.24,7.81
01/01/2019,54,3144805,1477,4,44.2,11.05
01/01/2019,54,3144805,1477,119,694.96,5.84
01/01/2019,54,3144805,1477,548,1644,3.
01/01/2019,54,3144805,1481,1,269.55,269.55
01/01/2019,54,3144805,1486,1,7.5,7.5
01/01/2019,54,3144805,1486,2,19.04,9.52
01/01/2019,54,3144805,1486,5,37.5,7.5
01/01/2019,54,3144805,1489,1,14.45,14.45
01/01/2019,54,3144805,1489,3,43.35,14.45
01/01/2019,53,3144805,1489,5,72.25,14.45
01/01/2019,54,3144805,1494,9,72,8.
01/01/2019,54,3144805,1494,103,1082.53,10.51
01/01/2019,54,3144805,1494,691,4215.1,6.1
01/01/2019,54,3144805,1503,3,4.95,1.65
01/01/2019,54,3144805,1506,1,91.63,91.63
01/01/2019,54,3144805,1523,4,13.12,3.28
01/01/2019,54,3144805,1523,9,36,4.
01/01/2019,54,3144805,1523,413,1156.4,2.8
01/01/2019,54,3144805,1536,6,25.8,4.3
01/01/2019,54,3144805,1536,157,675.1,4.3
01/01/2019,54,3144805,1537,2,14.3,7.15
01/01/2019,54,3144805,1557,2,28.6,14.3
01/01/2019,53,3144805,1562,1,9.76,9.76
01/01/2019,54,3144805,1562,12,55.92,4.66
01/01/2019,54,3144805,1562,119,555.73,4.67
01/01/2019,54,3144805,1562,1199,3477.1,2.9
01/01/2019,54,3144805,1577,7,232.19,33.17
01/01/2019,54,3144805,1587,15,393,26.2
01/01/2019,54,3144805,1590,1,21.95,21.95
01/01/2019,54,3144805,1593,2,43.9,21.95
01/01/2019,54,3144805,1604,6,36,6.
01/01/2019,54,3144805,1606,1,135.7,135.7
01/01/2019,54,3144805,1610,1,126.69,126.69
01/01/2019,54,3144805,1611,1,137.97,137.97
01/01/2019,54,3144805,1612,1,9,9.
01/01/2019,54,3144805,1612,1,9.93,9.93
01/01/2019,54,3144805,1612,101,787.8,7.8
01/01/2019,54,3144805,1628,4,71.92,17.98
01/01/2019,54,3144805,1628,23,304.29,13.23
01/01/2019,54,3144805,1629,4,86.64,21.66
01/01/2019,54,3144805,1629,22,350.02,15.91
01/01/2019,54,3144805,1636,2,19.8,9.9
01/01/2019,54,3144805,1642,9,69.3,7.7
01/01/2019,54,3144805,1644,5,38.5,7.7
01/01/2019,54,3144805,1647,5,38.5,7.7
01/01/2019,54,3144805,1661,2,28.6,14.3
01/01/2019,54,3144805,1664,1,450,450.
01/01/2019,54,3144805,1674,1,9.61,9.61
01/01/2019,54,3144805,1676,1,9.07,9.07
01/01/2019,54,3144805,1686,1,679.18,679.18
01/01/2019,54,3144805,1700,1,18.38,18.38
01/01/2019,54,3144805,1701,6,68.28,11.38
01/01/2019,54,3144805,1701,22,131.12,5.96
01/01/2019,54,3144805,1702,2,19.8,9.9
01/01/2019,54,3144805,1707,2,19.8,9.9
01/01/2019,54,3144805,1709,1,9.9,9.9
01/01/2019,54,3144805,1718,3,100.02,33.34
01/01/2019,54,3144805,1793,3,215.94,71.98
01/01/2019,54,3144805,1803,3,57,19.
01/01/2019,54,3144805,1809,29,133.4,4.6
01/01/2019,54,3144805,1811,1,10.72,10.72
01/01/2019,54,3144805,1882,4,29.44,7.36
01/01/2019,54,3144805,1882,114,319.2,2.8
01/01/2019,54,3144805,1894,1,147,147.
01/01/2019,53,3144805,1900,40,93.2,2.33
01/01/2019,54,3144805,1900,48,81.6,1.7
